ID,Subject,Services,ProgramServiceSubject,Section,SectionItem,Contents,StatePlanSection,PlanPage,pdfPageNumber,EffectiveDate,TransmittalNumber,Superseded1,Superseded2,Superseded3,Superseded4,Superseded5,Superseded6,Superseded7,Superseded8,Superseded9,Superseded10,Superseded11,Superseded12,Superseded13,Superseded14,Superseded15,Superseded16,Superseded17,Superseded18,Superseded19,Superseded20,Superseded21,Superseded22,Superseded23,Superseded24,Superseded25
1,Administration,Administration,,Attorney General's Certification,,,Attachment 1.1-A ,Page 01,14,10/1/15,15-35,13-57-MM4,1-Dec,92-38,79-12,77-16,74-60,SuperNone,,,,,,,,,,,,,,,,,,
2,Administration,DELETED,,Organization and Function of State Agency,,,Attachment 1.2-A ,Page 01,15,3/1/12,1-Dec,15-Jan,92-38,81-04,SuperNone,,,,,,,,,,,,,,,,,,,,,
3,Administration,DELETED,,Texas Medicaid Operating Departments,,Visio Chart,Attachment 1.2-A ,Page 02,16,3/1/12,1-Dec,15-Jan,92-38,81-04,SuperNone,,,,,,,,,,,,,,,,,,,,,
4,Administration,DELETED,,Texas Medicaid Operating Departments,,Visio Chart,Attachment 1.2-A ,Page 03,17,10/1/15,15-35,1-Dec,15-Jan,94-27,92-38,81-04,SuperNone,,,,,,,,,,,,,,,,,,,
5,Administration,DELETED,,Organization and Function of the Medical Asst. Unit,,,Attachment 1.2-B ,Page 01,18,3/1/12,1-Dec,92-38,81-04,SuperNone,,,,,,,,,,,,,,,,,,,,,,
6,Administration,DELETED,,Organization and Function of the Medical Asst. Unit,,Visio Chart,Attachment 1.2-B ,Page 02,19,3/1/12,1-Dec,92-38,81-04,SuperNone,,,,,,,,,,,,,,,,,,,,,,
7,Administration,DELETED,,Professional Medical and Supporting Staff,,,Attachment 1.2-C ,Page 01,20,3/1/12,1-Dec,92-38,81-04,SuperNone,,,,,,,,,,,,,,,,,,,,,,
8,Administration,Designation,Authority,State Plan Administration,,Designation and Authority,A1,Page 1 of 6,21,1/18/14,13-57,13-47,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
9,Administration,Designation,Authority,State Plan Administration,,"Designation and AuthorityOrganization and Administration","A1 A2",Page 2 of 6,22,1/18/14,13-57,13-47,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
10,Administration,Organization,Administration,State Plan Administration,,Organization and Administration,A2,Page 3 of 6,23,1/18/14,13-57,13-47,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
11,Administration,Organization,Administration,State Plan Administration,,Organization and Administration,A2,Page 4 of 6,24,1/18/14,13-57,13-47,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
12,Administration,Assurances,,State Plan Administration,,"Organization and Administration Assurances","A2A3",Page 5 of 6,25,1/18/14,13-57,13-47,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
13,Administration,Assurances,,State Plan Administration,,Assurances,A3,Page 6 of 6,26,1/18/14,13-57,13-47,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
14,Administration,Medicaid,Fair Hearings,State Plan Administration,,Medicaid Fair Hearings,State Plan Administration,HCFA-179,27,1/18/14,13-57,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
15,Administration,Managed Care,,Medical Risk Contract with HMOs that are not Federally Qualified,,,Attachment 2.1-A,Page 01,28,9/1/95,95-23,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
16,Eligibility Groups,DELETED,Categorically Needy,Categorically Needy and Other Required Special Groups,2.2-A (A.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A ,Page 01,29,,14-02,91-34,90-48,86-24,85-01,,78-11,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,
17,Eligibility Groups,Mandatory Coverage,Categorically Needy,Categorically Needy and Other Required Special Groups,2.2-A (A.),"2. Deemed Recipients of AFDC (A.2.b and A.2.c Removed by SPA 14-0002)",Attachment 2.2-A ,Page 02,30,10/1/10,3-Oct,91-34,90-25,,86-24,85-01,78-11,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,
